Run,D50/a,L/a,dt/a,F,Fd,ds/a
2P7,0.186,40,12.27,4.757203883,8.587234455,6
3P1,0.3,55,12.77,4.868950283,6.920424589,3
3P2,0.2,33.33333333,10.86666667,3.154316278,5.490959837,3.4
3P3,0.24,40,11.28,4.097909763,6.512006088,4.08
3P4,0.3,50,12.27,4.757203883,6.761595172,3.3
3P5,0.2,26.66666667,10.86666667,3.154316278,5.490959837,3.633333333
3P6,0.24,32,11.28,4.097909763,6.512006088,4.76
3P7,0.3,40,12.27,4.757203883,6.761595172,3.4
N1,0.032666667,33.33333333,9.666666667,2.372254391,10.21802301,3.133333333
N2,0.032666667,33.33333333,9.666666667,2.372254391,10.21802301,2.8
N3,0.032666667,33.33333333,9.666666667,2.372254391,10.21802301,2.733333333
N4,0.032666667,33.33333333,9.666666667,2.372254391,10.21802301,2.533333333
N5,0.032666667,33.33333333,9.666666667,2.372254391,10.21802301,2.4
N6,0.053333333,33.33333333,9.666666667,2.372254391,7.996867919,2.8
N7,0.053333333,33.33333333,9.666666667,2.372254391,7.996867919,2.6
N8,0.053333333,33.33333333,9.666666667,2.372254391,7.996867919,2.266666667
N9,0.053333333,33.33333333,9.666666667,2.372254391,7.996867919,2
N10,0.053333333,33.33333333,9.666666667,2.372254391,7.996867919,1.866666667
N11,0.124,33.33333333,9.666666667,2.372254391,5.244552587,1.766666667
N12,0.124,33.33333333,9.666666667,2.372254391,5.244552587,1.606666667
N13,0.124,33.33333333,9.666666667,2.372254391,5.244552587,1.8
N14,0.124,33.33333333,9.666666667,2.372254391,5.244552587,1.833333333
N15,0.124,33.33333333,9.666666667,2.372254391,5.244552587,1.933333333
N16,0.2,33.33333333,9.666666667,2.372254391,4.129564836,2.066666667
N17,0.2,33.33333333,9.666666667,2.372254391,4.129564836,2
N18,0.2,33.33333333,9.666666667,2.372254391,4.129564836,1.733333333
N19,0.2,33.33333333,9.666666667,2.372254391,4.129564836,1.6
N20,0.2,33.33333333,9.666666667,2.372254391,4.129564836,1.466666667
1A,0.054,100,20,7.540444804,25.26144057,20.2
2A,0.054,100,25,7.540444804,25.26144057,19
3A,0.054,100,30,7.540444804,25.26144057,20.2
4A,0.027,50,10,2.649986056,12.55508723,5.5
5A,0.027,50,12.5,2.649986056,12.55508723,4.8
6A,0.027,50,15,2.649986056,12.55508723,4.9
7A,0.018,33.33333333,6.666666667,1.459848856,8.470902229,2.666666667
8A,0.018,33.33333333,8.333333333,1.459848856,8.470902229,2.533333333
9A,0.018,33.33333333,10,1.459848856,8.470902229,2.6
10B,1.34,100,20,12.05568121,8.107694653,9
10B1,1.34,100,22,12.05568121,8.107694653,8.4
11B,1.34,100,25,12.05568121,8.107694653,9.2
11B1,1.34,100,28,12.05568121,8.107694653,9.4
12B,1.34,100,30,12.05568121,8.107694653,9.8
12B1,1.34,100,32,12.05568121,8.107694653,10.2
12B2,1.34,100,36,12.05568121,8.107694653,10.4
12B3,1.34,100,40,12.05568121,8.107694653,10.8
13B,0.67,50,10,4.246363198,4.038664378,3.8
13B1,0.67,50,11,4.246363198,4.038664378,3.6
14B,0.67,50,12.5,4.246363198,4.038664378,3.9
14B1,0.67,50,14,4.246363198,4.038664378,4
15B,0.67,50,15,4.246363198,4.038664378,4.2
15B1,0.67,50,16,4.246363198,4.038664378,4.3
15B2,0.67,50,18,4.246363198,4.038664378,4.5
15B3,0.67,50,20,4.246363198,4.038664378,4.6
16B,0.446666667,33.33333333,6.666666667,2.320116931,2.702564884,0.733333333
16B1,0.446666667,33.33333333,7.333333333,2.320116931,2.702564884,0.666666667
17B,0.446666667,33.33333333,8.333333333,2.320116931,2.702564884,0.866666667
17B1,0.446666667,33.33333333,9.333333333,2.320116931,2.702564884,1
18B,0.446666667,33.33333333,10,2.320116931,2.702564884,1.066666667
18B1,0.446666667,33.33333333,10.66666667,2.320116931,2.702564884,1.133333333
18B2,0.446666667,33.33333333,12,2.320116931,2.702564884,1.266666667
18B3,0.446666667,33.33333333,13.33333333,2.320116931,2.702564884,1.333333333
10C,0.534,100,20,12.05568121,12.84337475,10.6
10C1,0.534,100,22,12.05568121,12.84337475,10.4
11C,0.534,100,25,12.05568121,12.84337475,11
11C1,0.534,100,28,12.05568121,12.84337475,11.6
12C,0.534,100,30,12.05568121,12.84337475,12
12C1,0.534,100,32,12.05568121,12.84337475,12.2
12C2,0.534,100,36,12.05568121,12.84337475,12.6
12C3,0.534,100,40,12.05568121,12.84337475,12.8
13C,0.267,50,10,4.246363198,6.397636113,4.2
13C1,0.267,50,11,4.246363198,6.397636113,4.1
14C,0.267,50,12.5,4.246363198,6.397636113,4.7
14C1,0.267,50,14,4.246363198,6.397636113,4.5
15C,0.267,50,15,4.246363198,6.397636113,4.5
15C1,0.267,50,16,4.246363198,6.397636113,4.6
15C2,0.267,50,18,4.246363198,6.397636113,4.8
15C3,0.267,50,20,4.246363198,6.397636113,4.9
16C,0.178,33.33333333,6.666666667,2.320116931,4.281124918,1.666666667
16C1,0.178,33.33333333,7.333333333,2.320116931,4.281124918,1.6
17C,0.178,33.33333333,8.333333333,2.320116931,4.281124918,1.933333333
17C1,0.178,33.33333333,9.333333333,2.320116931,4.281124918,1.866666667
18C,0.178,33.33333333,10,2.320116931,4.281124918,1.933333333
